Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Coordinate.Uncertainty.M,Coordinate.Precision.M,Genus,Species,Mass.g
KU,109531,Male,Unknown,2004,2,29,-88.9069167,14.1305833,,,Colaptes,rubiginosus,87
KU,109747,Male,Unknown,2004,4,10,-88.7616667,13.2383333,,,Dryocopus,lineatus,152
KU,110763,Male,Unknown,2007,11,3,124.84216,10.74136,,,Chrysocolaptes,lucidus,124
KU,111266,Male,Unknown,2007,1,26,113.0336667,2.9418333,,,Meiglyptes,tukki,50
KU,111308,Male,Unknown,2007,1,25,113.0336667,2.9418333,,,Sasia,abnormis,8.5
KU,111722,Male,Unknown,2001,4,18,-111.6208833,25.9311333,,,Melanerpes,uropygialis,60
KU,112282,Male,Unknown,1994,1,21,-96.98885,17.8652167,,,Melanerpes,hypopolius,43
KU,112936,Male,Unknown,2008,6,4,115.5135,5.3278333,,,Dinopium,javanense,67
KU,113017,Male,Unknown,2008,6,16,116.0165,5.5046667,,,Picus,puniceus,62
KU,113108,Male,Unknown,2009,1,19,-92.1523333,40.2571667,,,Picoides,pubescens,30.7
KU,113226,Male,Unknown,2009,5,26,-12.1766667,9.675,,,Dendropicos,obsoletus,16.7
KU,113518,Male,Unknown,2009,4,17,-72.876,-12.7001667,,,Melanerpes,cruentatus,65
KU,113733,Male,Unknown,2008,9,18,-74.791,-11.472,,,Picumnus,dorbignyanus,9.5
KU,113736,Male,Unknown,2008,9,20,-74.791,-11.472,,,Colaptes,rivolii,82
KU,113856,Male,Unknown,2008,10,2,-74.859,-11.508,,,Colaptes,rivolii,91.2
KU,113870,Male,Unknown,2008,9,29,-74.892,-11.488,,,Veniliornis,nigriceps,38
KU,114571,Male,Unknown,2009,6,22,121.5148667,15.6436167,,,Chrysocolaptes,lucidus,122
KU,115050,Male,Unknown,2009,5,8,-11.14,8.0066667,,,Campethera,nivosa,35.6
KU,115278,Male,Unknown,2009,5,21,-12.1766667,9.675,,,Campethera,nivosa,38.8
KU,115430,Male,Unknown,2010,1,7,-95.2066667,39.0316667,,,Melanerpes,carolinus,85.1
KU,115540,Male,Unknown,2009,10,10,-69.28,-14.49,,,Colaptes,rivolii,88.5
KU,115963,Male,Unknown,2001,4,26,-109.8655556,23.55861111,,,Melanerpes,uropygialis,67
KU,115983,Male,Unknown,2010,6,2,-103.0873333,37.1386667,,,Melanerpes,lewis,105.3
KU,115991,Male,Unknown,2009,11,16,-94.9738889,39.4041667,,,Sphyrapicus,varius,36.2
KU,116760,Male,Unknown,2010,4,11,107.0625,11.3808833,,,Picus,canus,151
KU,117241,Male,Unknown,2010,7,20,-94.5744444,39.0352778,,,Colaptes,auratus,110.3
KU,118664,Male,Unknown,1974,10,17,-94.855,40.428,,,Melanerpes,carolinus,80
KU,119352,Male,Unknown,2011,6,29,120.894,18.449,,,Chrysocolaptes,lucidus,131
KU,119353,Male,Unknown,2011,6,2,120.894,18.449,,,Chrysocolaptes,lucidus,138.8
KU,119361,Male,Unknown,2011,7,2,120.894,18.449,,,Dryocopus,javensis,225
KU,119694,Male,Unknown,2011,4,4,102.224,22.361,,,Blythipicus,pyrrhotis,160
KU,119771,Male,Unknown,2011,7,20,122.104,18.236,,,Chrysocolaptes,lucidus,119
KU,119785,Male,Unknown,2011,7,16,122.111,18.219,,,Mulleripicus,funebris,158.8
KU,119788,Male,Unknown,2011,7,16,122.117,18.215,,,Chrysocolaptes,lucidus,139.6
KU,120643,Male,Unknown,2012,4,10,104.261,21.968,,,Sasia,ochracea,8.9
KU,121917,Male,Unknown,2012,7,8,125.025,8.695,,,Chrysocolaptes,lucidus,108.2
KU,122877,Male,Unknown,2013,3,21,107.856,15.089,,,Sasia,ochracea,8.3
