Institution,CatalogNo,Sex,Age,Year,Month,Day,Long,Lat,Genus,Species,Mass.g,bcpic,bio10,bio11,bio12,bio16,bio17,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5
MVZ,61881,Female,Adult,1932,6,20,-123.4808944,40.4808574,Picoides,villosus,80.8,5,143,19,1453,728,45,-0.857343666652152,-0.952248552511954,-1.64897434980128,-0.445435512926759,-0.0277500937178014
MVZ,70362,Female,Adult,1937,1,9,-123.3713575,38.9631181,Picoides,villosus,59.5,5,179,80,1113,589,15,-0.666009117614689,0.358382934707319,-1.43499682647609,-0.0825683046055672,-0.0279727279891315
MVZ,73510,Female,Adult,1938,6,16,-122.9107,44.2042,Picoides,villosus,63.6,5,173,45,1448,676,99,-1.29947933642599,-0.575118701584409,-0.867884010335543,-0.240714422061691,0.0303263099709641
MVZ,73514,Female,Adult,1938,6,28,-121.6154,44.0583,Picoides,villosus,70,5,106,-41,1272,596,106,-0.117291120190572,-1.98139261688705,-1.09630122054626,-0.0631946972746479,0.0736726908778954
MVZ,77750,Female,Adult,1939,7,7,-121.5208,45.4189,Picoides,villosus,65.5,5,129,-17,1713,801,125,-1.31802259241534,-1.94932641377854,-1.16583770250827,-0.496717424236268,0.0748213143346767
MVZ,80471,Female,Adult,1940,7,24,-122.9445,45.713,Picoides,villosus,63.2,5,172,41,1331,627,101,-1.06641516087342,-0.529940693480395,-0.752210269951792,-0.137261965269157,0.0676826952230722
MVZ,83414,Female,Adult,1941,5,18,-123.9603,45.7833,Picoides,villosus,65.1,5,142,61,2285,1042,164,-3.03216344192773,-1.97546803504968,-1.42562703267276,-0.410890814851787,0.0295632699075731
MVZ,83420,Female,Adult,1941,5,22,-123.9214,45.9354,Picoides,villosus,72.6,5,145,61,2179,990,160,-2.82411439492027,-1.8192134550427,-1.32637957401815,-0.338418616081343,0.027682568279978
MVZ,83448,Female,Adult,1941,6,18,-121.7864,44.8072,Picoides,villosus,64.4,5,111,-30,1991,931,148,-1.77097146690443,-2.64674343701893,-1.3773471487638,-0.633677664840418,0.102169755904301
MVZ,83449,Female,Adult,1941,6,18,-121.7789,44.7692,Picoides,villosus,68.5,5,111,-30,1977,927,147,-1.74500589150438,-2.63192423740061,-1.37733018724095,-0.626154518248575,0.107174666090889
MVZ,84400,Female,Adult,1941,12,28,-124.1530252,41.104244,Picoides,villosus,71,5,144,76,1475,720,48,-1.18688656395751,-0.650939717219939,-1.7859541562997,0.029112975623525,-0.0893990277275842
MVZ,84406,Female,Adult,1942,1,18,-123.47623,40.4313,Picoides,villosus,59.3,5,168,35,1407,722,37,-1.00769781037605,-0.40609236901725,-1.48325690473266,-0.568390674873599,0.0012917886188534
MVZ,87472,Female,Adult,1942,9,5,-123.88759,40.77914,Picoides,villosus,70,5,170,75,1279,642,34,-0.933252417092129,-0.0253614170364481,-1.46538949198664,-0.102584453179796,-0.0552073146002165
MVZ,87474,Female,Adult,1942,9,11,-123.8083893,40.9028547,Picoides,villosus,62.5,5,171,57,1441,724,40,-1.1938973328049,-0.274331079869525,-1.50412701272226,-0.421877319059387,-0.0351805984926177
